barcodeID,sampleID,treatment_mmol,species
20107,BO_R5_35,35,B. officinalis
20773,BO_R5_15,15,B. officinalis
20840,RA_R1_25,25,H. vulgare
20913,RA_R2_25,25,H. vulgare
21589,BO_R4_25,25,B. officinalis
21941,BO_R3_15,15,B. officinalis
21991,BO_R3_25,25,B. officinalis
22209,BO_R3_30,30,B. officinalis
22283,BO_R1_35,35,B. officinalis
22303,BO_R4_15,15,B. officinalis
22603,BO_R5_5,5,B. officinalis
22612,RA_R2_20,20,H. vulgare
22702,RA_R3_20,20,H. vulgare
23401,BO_R3_35,35,B. officinalis
23461,RA_R3_5,5,H. vulgare
23588,BO_R3_5,5,B. officinalis
23641,BO_R2_20,20,B. officinalis
24159,RA_R4_5,5,H. vulgare
24199,BO_R2_35,35,B. officinalis
24341,BO_R4_5,5,B. officinalis
24427,BO_R5_25,25,B. officinalis
24543,RA_R3_10,10,H. vulgare
24604,BO_R1_15,15,B. officinalis
24762,BO_R2_15,15,B. officinalis
24778,BO_R2_10,10,B. officinalis
24781,RA_R4_25,25,H. vulgare
24837,RA_R1_10,10,H. vulgare
24994,BO_R5_0,0,B. officinalis
25315,BO_R4_30,30,B. officinalis
25506,BO_R1_20,20,B. officinalis
25661,BO_R1_30,30,B. officinalis
25724,RA_R2_5,5,H. vulgare
25910,RA_R5_25,25,H. vulgare
26068,BO_R1_5,5,B. officinalis
26103,BO_R3_0,0,B. officinalis
26204,RA_R5_15,15,H. vulgare
26289,RA_R2_10,10,H. vulgare
26427,BO_R4_0,0,B. officinalis
26547,BO_R2_30,30,B. officinalis
26642,RA_R4_10,10,H. vulgare
26743,BO_R5_10,10,B. officinalis
26824,RA_R1_5,5,H. vulgare
27057,HO_R3_25,25,R. sativus
27059,BO_R2_25,25,B. officinalis
27120,BO_R3_10,10,B. officinalis
27375,RA_R5_5,5,H. vulgare
27387,RA_R5_20,20,H. vulgare
27480,RA_R5_10,10,H. vulgare
27826,BO_R1_0,0,B. officinalis
27901,BO_R2_0,0,B. officinalis
27967,BO_R4_10,10,B. officinalis
28155,BO_R3_20,20,B. officinalis
28163,BO_R4_35,35,B. officinalis
28395,BO_R5_30,30,B. officinalis
28679,RA_R5_30,30,H. vulgare
28762,RA_R4_15,15,H. vulgare
28832,BO_R1_10,10,B. officinalis
28882,BO_R4_20,20,B. officinalis
29332,BO_R5_20,20,B. officinalis
29706,BO_R1_25,25,B. officinalis
29801,BO_R2_5,5,B. officinalis
30529,RA_R5_35,35,H. vulgare
30771,RA_R3_30,30,H. vulgare
30786,HO_R1_20,20,R. sativus
31552,HO_R1_10,10,R. sativus
31841,HO_R1_10,10,R. sativus
32137,RA_R1_35,35,H. vulgare
32196,RA_R1_20,20,H. vulgare
32374,RA_R5_0,0,H. vulgare
32908,RA_R1_30,30,H. vulgare
33847,HO_R2_35,35,R. sativus
33900,RA_R2_15,15,H. vulgare
34121,RA_R4_0,0,H. vulgare
34122,HO_R4_15,15,R. sativus
34521,HO_R1_35,35,R. sativus
34680,HO_R3_15,15,R. sativus
35106,HO_R2_15,15,R. sativus
35208,HO_R3_35,35,R. sativus
35222,RA_R2_30,30,H. vulgare
35469,HO_R3_10,10,R. sativus
35764,HO_R2_25,25,R. sativus
35802,RA_R3_15,15,H. vulgare
36038,HO_R1_30,30,R. sativus
36145,RA_R4_20,20,H. vulgare
36432,HO_R2_10,10,R. sativus
36605,RA_R4_30,30,H. vulgare
36731,HO_R2_30,30,R. sativus
36912,HO_R3_20,20,R. sativus
37191,RA_R3_0,0,H. vulgare
37381,RA_R3_35,35,H. vulgare
38025,HO_R3_30,30,R. sativus
38114,HO_R2_20,20,R. sativus
38118,RA_R3_25,25,H. vulgare
38386,HO_R1_25,25,R. sativus
38450,HO_R1_5,5,R. sativus
38947,HO_R2_5,5,R. sativus
39034,RA_R2_35,35,H. vulgare
39146,RA_R2_0,0,H. vulgare
39291,RA_R4_35,35,H. vulgare
39493,RA_R1_15,15,H. vulgare
39992,HO_R3_5,5,R. sativus
